ID,Area,Note,2012-03-27,2012-04-03,2012-04-10,2012-04-17,2012-04-24,2012-05-02,2012-05-08,2012-05-15,2012-05-22,2012-05-29,2012-06-05,2012-06-12,2012-06-19,2012-06-26,2012-07-03,2012-07-10,2012-07-17,2012-07-24,2012-07-31,2012-08-07,2012-08-14,2012-08-21,2012-08-28,2012-09-04,2012-09-11,2012-09-18,2012-09-25,2012-10-02,2012-10-09,2012-10-16,2012-10-23,2012-10-30,2012-11-06,2012-11-13,2012-11-20,2012-11-27
1,Marina di Grosseto,Camping Rosmarine,0,0,0,0,0,0,0,0,0,0,1,18,29,32,48,52,67,102,84,110,134,110,124,94,119,129,107,97,102,94,86,52,34,8,0,0
2,Marina di Grosseto,Ingresso bar Piazzetta comunale,0,0,0,0,0,0,0,0,0,2,9,24,43,25,39,45,50,78,92,125,96,81,156,131,142,111,134,147,123,134,94,39,15,22,4,0
3,Principina,Ingresso parco comunale,0,0,0,0,0,0,0,0,0,0,0,15,22,99,123,143,110,126,117,109,151,145,138,167,152,164,120,138,106,87,91,22,9,0,0,0
4,Castiglione della Pescaia,Distributore Agip,0,0,0,0,0,0,0,6,9,18,24,42,40,52,58,73,42,115,122,129,154,101,124,145,116,96,142,148,95,101,76,41,35,9,16,7
5,Castiglione della Pescaia,Sotto Ailanthus,0,0,0,0,0,0,0,0,0,0,0,12,8,6,16,38,51,69,84,71,98,94,134,175,207,184,101,124,87,64,95,16,5,0,0,0
6,Castiglione della Pescaia,"Bivio per Follonica, dopo il ponte.",0,0,0,0,0,0,0,2,4,13,16,33,57,30,47,72,84,121,107,63,96,51,77,101,94,124,136,95,81,60,56,21,12,7,0,0
7,Punta Ala,Zona Parcheggio in direzione mare,NA,0,0,0,0,0,0,0,0,0,1,17,23,NA,8,38,59,35,50,66,32,19,47,67,51,79,92,71,89,114,74,11,0,0,0,0
8,Follonica,Su ponte abbandonatyo,0,0,0,0,0,0,0,0,0,57,65,69,89,66,70,125,96,115,231,247,251,201,178,224,197,205,180,124,115,98,90,8,17,0,6,0
9,Follonica,Difronte al cimitero,0,0,0,0,0,3,6,23,37,40,53,91,87,71,82,69,78,31,52,22,9,34,45,28,42,35,98,120,85,65,73,10,25,4,0,0
10,Piombino,Ingresso La Magona,0,0,0,0,0,14,23,0,0,25,32,55,75,88,94,147,132,78,94,45,30,20,44,67,58,67,104,110,78,86,70,34,17,11,9,0
11,Piombino,Parco Salivoli,0,0,0,0,0,0,0,0,0,29,33,69,78,18,20,53,89,56,78,65,42,37,58,102,96,72,85,89,68,79,51,42,29,6,0,0
12,Piombino,Parco Pavolini,0,0,0,0,0,0,0,0,0,19,17,29,41,12,24,47,36,45,69,48,51,67,84,72,112,121,102,95,92,116,83,31,4,18,5,0
