location,Lat,Lon,Area,Note_geo,elevations_m,distcoast_km,popu_clcv5,pop_01v41,UMZ2006_100,radiance_tosc,corine_class,media_mag,media_giu,media_lug,media_ago,media_set,media_ott,media_apr
P1,42.72652222,10.97291944,Marina di Grosseto,Camping Rosmarine,8,5.74772644,7,12,1,0,2,73.56238556,105.0375748,126.5201416,118.2181854,86.57493591,54.0832634,45.29281235
P2,42.722275,10.97756389,Marina di Grosseto,Ingresso bar Piazzetta comunale,4,5.74772644,4547,2051,1,0,2,73.40639496,104.8272171,126.2998657,117.9904709,86.50109863,53.97851181,45.06950378
P3,42.69537222,10.99932222,Principina,Ingresso parco comunale,5,3.405642509,7,2051,1,0,2,73.04537201,104.3432007,125.886673,117.5020218,86.48602295,53.7850647,44.51451874
P4,42.76090556,10.88788889,Castiglione della Pescaia,Distributore Agip,5,4.633121967,1380,1063,1,10,2,73.78749084,105.5620041,127.6641541,119.0063324,87.12928009,54.49857712,45.85538101
P5,42.76146389,10.88425278,Castiglione della Pescaia,Sotto Ailanthus,4,4.633121967,1380,1063,1,10,2,0,0,0,0,0,0,0
P6,42.76613056,10.88593889,Castiglione della Pescaia,"Bivio per Follonica, dopo il ponte.",6,4.633121967,1380,1063,1,10,2,73.94158173,105.8049927,127.9522247,119.2452774,87.27351379,54.5421524,45.9933815
P7,42.80524722,10.73999722,Punta Ala,Zona Parcheggio in direzione mare,20,-3.398781061,1380,1063,1,0,2,74.87997437,107.0867844,130.5310059,121.0688324,88.43498993,55.11690521,46.92985535
P8,42.911875,10.774,Follonica,Su ponte abbandonato,1,-3.394198179,68,1317,0,6,20,76.1361084,109.187294,132.7352295,122.4655914,89.84905243,55.50826645,47.71187592
P9,42.93,10.76279167,Follonica,Difronte al cimitero,10,4.633121967,5592,2978,1,9,2,76.28813171,109.3699646,132.9615173,122.5163116,89.91516876,55.52485657,47.78256226
P10,42.92655,10.53485833,Piombino,Ingresso La Magona,12,3.391903877,7315,295,1,0,3,75.90354919,108.0600357,132.2841187,122.847908,89.84643555,56.32218933,48.39639664
P11,42.93191111,10.51301944,Piombino,Parco Salivoli,6,3.391903877,6188,2567,1,0,2,75.39017487,107.2932892,131.3511505,122.1199951,89.42216492,56.23601151,48.17163467
P12,42.93273056,10.52208056,Piombino,Parco Pavolini,43,3.391903877,7315,2567,1,0,2,75.59224701,107.5884933,131.7037354,122.4114685,89.60450745,56.29065323,48.26893234
P13,43.074625,10.53845833,San Vincenzo,Distributore Erg sull'aurelia.,7,-3.385010242,5,12,1,9,25,76.39381409,108.5958023,132.1694031,123.1823959,89.63726807,55.99324799,48.28984451
P14,43.10684722,10.54056111,San Vicenzo,"Uscita S.Vincenzo, bordo ferrovia",5,-3.382708788,8,0,1,11,4,0,0,0,0,0,0,0
P15,43.2428,10.53364167,Marina di Bibbona,P.zza delle Orchidee,4,-3.375793934,126,166,0,0,11,75.73173523,107.9803391,129.276825,121.7329025,87.38300323,53.47551346,47.09686279
P16,43.23769722,10.52788056,Marina di Bibbona,P.zza del Forte,2,-3.375793934,5,8,0,0,24,75.76249695,108.0023499,129.3819275,121.7924347,87.50376892,53.62377548,47.17497635
P17,43.32138333,10.53287778,Cecina,Cecina Centro - Tarabaralla,9,5.728758335,152,94,0,0,20,76.02868652,107.5736542,128.4624023,120.5910645,86.67300415,53.03286743,47.34274292
P18,43.32905833,10.503325,San Pietro in Palazzi,Rotondina prima della Cicala che ride,8,5.728758335,6346,3191,1,14,2,76.31106567,107.8897247,128.8823853,120.8334198,87.05778503,53.44316483,47.69129562
