"nome_loc","lat","lon","alfa_l","alfa_u","alfa_a","MAE_sim","ME_sim","RMSE_sim","success_sim","ind_data_confronto"
Forte dei Marmi,44.11793056,9.841513889,0.5,0,0,29.4106666666667,19.012,48.5452234519525,1,6055
Forte dei Marmi,44.11793056,9.841513889,0.5,0,1e-05,42.3826666666667,34.4573333333333,70.3076591370622,1,6064
Forte dei Marmi,44.11793056,9.841513889,0.5,0,2e-05,40.3566666666667,32.7126666666667,65.3889995845377,1,6073
Forte dei Marmi,44.11793056,9.841513889,0.5,0,3e-05,40.0353333333333,32.6646666666667,66.464809034556,1,6082
Forte dei Marmi,44.11793056,9.841513889,0.5,0,4e-05,50.146,44.3233333333333,81.2412986109897,1,6091
Forte dei Marmi,44.11793056,9.841513889,0.5,0,5e-05,48.1173333333333,41.7386666666667,77.975282750369,1,6100
Forte dei Marmi,44.11793056,9.841513889,0.6,0,0,24.28,12.556,39.7613349876485,1,6109
Forte dei Marmi,44.11793056,9.841513889,0.6,0,1e-05,24.0246666666667,12.3566666666667,39.2005739753897,1,6118
Forte dei Marmi,44.11793056,9.841513889,0.6,0,2e-05,34.394,25.198,53.4608064535756,1,6127
Forte dei Marmi,44.11793056,9.841513889,0.6,0,3e-05,31.164,22.3213333333333,48.8557266517106,1,6136
Forte dei Marmi,44.11793056,9.841513889,0.6,0,4e-05,28.9406666666667,19.7126666666667,46.4090259899228,1,6145
Forte dei Marmi,44.11793056,9.841513889,0.6,0,5e-05,32.7293333333333,25.1613333333333,51.6304989968785,1,6154
Forte dei Marmi,44.11793056,9.841513889,0.7,0,0,21.3413333333333,7.348,33.198182681185,1,6163
Forte dei Marmi,44.11793056,9.841513889,0.7,0,1e-05,14.8113333333333,-11.854,22.4256059003988,1,6172
Forte dei Marmi,44.11793056,9.841513889,0.7,0,2e-05,17.1653333333333,3.46133333333333,28.7635797493984,1,6181
Forte dei Marmi,44.11793056,9.841513889,0.7,0,3e-05,15.5646666666667,-0.978000000000001,24.6022207669687,1,6190
Forte dei Marmi,44.11793056,9.841513889,0.7,0,4e-05,19.73,7.114,31.3901175531408,1,6199
Forte dei Marmi,44.11793056,9.841513889,0.7,0,5e-05,23.994,12.934,37.971631340603,1,6208
