"nome_loc","lat","lon","alfa_l","alfa_u","alfa_a","MAE_sim","ME_sim","RMSE_sim","success_sim","ind_data_confronto"
Marina di Grosseto,44.11793056,9.841513889,0.5,0,0,37.8393333333333,20.4753333333333,62.6881684743355,1,7
Marina di Grosseto,44.11793056,9.841513889,0.5,0,1e-05,42.4466666666667,28.9373333333333,74.427379191621,1,16
Marina di Grosseto,44.11793056,9.841513889,0.5,0,2e-05,44.8093333333333,30.9706666666667,78.2754033738143,1,25
Marina di Grosseto,44.11793056,9.841513889,0.5,0,3e-05,50.5366666666667,43.0433333333333,91.7999627450905,1,34
Marina di Grosseto,44.11793056,9.841513889,0.5,0,4e-05,46.8233333333333,36.726,82.1284636813977,1,43
Marina di Grosseto,44.11793056,9.841513889,0.5,0,5e-05,73.608,70.452,126.541212785927,1,52
Marina di Grosseto,44.11793056,9.841513889,0.6,0,0,33.86,23.668,62.596898751722,1,61
Marina di Grosseto,44.11793056,9.841513889,0.6,0,1e-05,32.0926666666667,13.5726666666667,56.3155944062862,1,70
Marina di Grosseto,44.11793056,9.841513889,0.6,0,2e-05,32.9146666666667,18.4266666666667,58.3356647915035,1,79
Marina di Grosseto,44.11793056,9.841513889,0.6,0,3e-05,40.4806666666667,32.422,74.8369585164977,1,88
Marina di Grosseto,44.11793056,9.841513889,0.6,0,4e-05,34.776,22.76,61.0846457521583,1,97
Marina di Grosseto,44.11793056,9.841513889,0.6,0,5e-05,32.752,16.8013333333333,55.9752104655862,1,106
Marina di Grosseto,44.11793056,9.841513889,0.7,0,0,27.0006666666667,13.0566666666667,48.4972368972364,1,115
Marina di Grosseto,44.11793056,9.841513889,0.7,0,1e-05,27.2266666666667,12.5573333333333,47.3316418477111,1,124
Marina di Grosseto,44.11793056,9.841513889,0.7,0,2e-05,27.0666666666667,11.7026666666667,46.8262242765739,1,133
Marina di Grosseto,44.11793056,9.841513889,0.7,0,3e-05,26.792,10.228,45.8760832388003,1,142
Marina di Grosseto,44.11793056,9.841513889,0.7,0,4e-05,33.14,19.9866666666667,57.70959804631,1,151
Marina di Grosseto,44.11793056,9.841513889,0.7,0,5e-05,30.2686666666667,19.9766666666667,55.1525572692086,1,160
Marina di Grosseto,44.11793056,9.841513889,0.8,0,0,20.372,-0.373333333333335,34.0116603534729,1,169
Marina di Grosseto,44.11793056,9.841513889,0.8,0,1e-05,21.2453333333333,0.133333333333333,35.2646259018864,1,178
Marina di Grosseto,44.11793056,9.841513889,0.8,0,2e-05,23.8366666666667,4.10733333333333,39.8647551938635,1,187
Marina di Grosseto,44.11793056,9.841513889,0.8,0,3e-05,25.4833333333333,10.5273333333333,44.964958059953,1,196
Marina di Grosseto,44.11793056,9.841513889,0.8,0,4e-05,21.3146666666667,2,34.4892562981575,1,205
Marina di Grosseto,44.11793056,9.841513889,0.8,0,5e-05,23.4753333333333,4.514,39.199172950459,1,214
Marina di Grosseto,44.11793056,9.841513889,0.9,0,0,21.1413333333333,-3.52666666666667,34.0652307590403,1,223
