"Data","Marina-di-Grosseto","Castiglione-della-Pescaia","Follonica","Piombino","Marina-di-Bibbona","Marina-di-Pisa","Pisa","Migliarino","Forte-dei-Marmi","La-Spezia"
2012-03-27,0,0,0,0,0,0,0,0,0,0
2012-04-03,0,0,0,0,0,0,0,0,0,0
2012-04-10,0,0,0,0,0,0,0,0,0,0
2012-04-17,0,0,0,0,0,0,0,0,0,0
2012-04-24,0,0,0,0,0,0,0,0,0,0
2012-05-02,0,0,0,0,0,0,0,0,0,0
2012-05-08,0,0,0,0,0,0,0,0,0,0
2012-05-15,0,0,0,0,0,0,0,0,0,21
2012-05-22,0,0,0,0,0,0,0,0,1,32
2012-05-29,0,0,57,19,67,34,0,12,22,6
2012-06-05,1,0,65,17,83,50,0,20,18,8
2012-06-12,18,12,69,29,70,35,31,0,22,0
2012-06-19,29,8,89,41,99,52,39,0,25,0
2012-06-26,32,6,66,12,106,112,26,40,11,112
2012-07-03,48,16,70,24,121,140,30,45,18,124
2012-07-10,52,38,125,47,95,115,44,65,16,92
2012-07-17,67,51,96,36,102,122,46,57,19,105
2012-07-24,102,69,115,45,116,105,48,86,47,112
2012-07-31,84,84,231,69,135,131,72,98,56,132
2012-08-07,110,71,247,48,119,98,68,64,88,95
2012-08-14,134,98,251,51,15,118,94,78,101,72
2012-08-21,110,94,201,67,68,150,74,52,131,140
2012-08-28,124,134,178,84,96,144,70,60,167,124
2012-09-04,94,175,224,72,85,102,54,62,91,264
2012-09-11,119,207,197,112,134,73,42,45,135,313
2012-09-18,129,184,205,121,122,76,60,29,120,210
2012-09-25,107,101,180,102,156,65,55,34,179,246
2012-10-02,97,124,124,95,84,78,62,48,88,155
2012-10-09,102,87,115,92,102,58,49,33,60,85
2012-10-16,94,64,98,116,97,69,29,40,84,132
2012-10-23,86,95,90,83,94,43,34,21,106,112
2012-10-30,52,16,8,31,11,25,16,5,41,78
2012-11-06,34,5,17,4,0,15,13,0,7,51
2012-11-13,8,0,0,18,0,8,0,0,0,24
2012-11-20,0,0,6,5,0,0,0,0,0,12
2012-11-27,0,0,0,0,0,0,0,0,0,7
